school_id,year,state,district,school_type,location,management,enrollment_boys,enrollment_girls,total_enrollment,num_teachers,pupil_teacher_ratio,num_classrooms,has_electricity,has_drinking_water,has_toilet_boys,has_toilet_girls,has_library,has_computer_lab,has_playground,has_boundary_wall,infrastructure_score,gender_parity_index,dropout_rate_boys,dropout_rate_girls,avg_dropout_rate,dropout_risk
SCH00001,2022,Punjab,Punjab_District_3,Upper Primary,Rural,Private,327,315,642,12,53.5,13,0,1,0,1,0,0,1,1,0.5,0.963,28.53,28.38,28.45,High
SCH00001,2023,Punjab,Punjab_District_3,Upper Primary,Rural,Private,293,298,591,14,42.21,15,1,1,1,1,1,1,1,1,1.0,1.017,13.36,13.52,13.44,Medium
SCH00001,2024,Punjab,Punjab_District_3,Upper Primary,Rural,Private,300,275,575,12,47.92,14,1,1,0,0,1,1,1,1,0.75,0.917,17.65,23.33,20.49,High
SCH00002,2022,Tripura,Tripura_District_5,Secondary,Rural,Government,287,317,604,19,31.79,15,1,1,0,0,0,0,1,1,0.5,1.105,28.32,37.97,33.14,High
SCH00002,2023,Tripura,Tripura_District_5,Secondary,Rural,Government,296,261,557,16,34.81,11,1,1,1,1,0,0,1,1,0.75,0.882,11.95,8.99,10.47,Medium
SCH00002,2024,Tripura,Tripura_District_5,Secondary,Rural,Government,339,269,608,17,35.76,17,0,1,1,1,1,0,1,1,0.75,0.794,16.06,17.25,16.65,Medium
SCH00003,2022,Chhattisgarh,Chhattisgarh_District_5,Primary,Urban,Government,22,26,48,2,24.0,3,1,1,1,1,0,1,1,1,0.875,1.182,14.69,10.23,12.46,Medium
SCH00003,2023,Chhattisgarh,Chhattisgarh_District_5,Primary,Urban,Government,26,21,47,3,15.67,3,0,1,1,1,0,1,1,1,0.75,0.808,27.52,27.04,27.28,High
SCH00003,2024,Chhattisgarh,Chhattisgarh_District_5,Primary,Urban,Government,22,29,51,2,25.5,3,1,1,1,1,0,1,1,1,0.875,1.318,0.1,0.0,0.05,Low
SCH00004,2022,Bihar,Bihar_District_4,Higher Secondary,Rural,Private,340,311,651,22,29.59,15,0,1,1,1,1,0,1,0,0.625,0.915,3.44,0.0,1.72,Low
